0		113	-148  1911 708	1
0		114	146  1911 708	1
1		125	-158  1647 255	1
2		128	-229  1642 261	1
2		129	-223  1642 262	1
2		130	-234  1643 263	1
3		132	-240  1646 264	1
3		133	210  1649 262	1
3		134	194  1648 261	0.999988
3		135	-227  1648 262	0.998566
3		136	-225  1648 261	1
3		137	198  1647 257	1
4		139	245  1643 255	1
5		141	253  1640 251	1
5		142	235  1639 249	1
6		144	-179  1639 250	0.993798
7		146	-175  1641 247	1
7		147	-213  1643 247	1
8		149	158  1645 245	1
8		150	151  1634 247	0.999998
9		152	-151  1634 246	1
10		167	145  1639 246	1
11		171	-147  1644 232	1
11		172	-146  1628 238	1
12		194	-152  1620 242	0.999999
12		195	157  1621 234	1
13		197	153  1625 235	1
13		198	204  1628 242	1
14		200	237  1630 242	1
14		201	-231  1631 242	1
15		204	231  1631 240	1
15		205	-232  1631 240	1
15		206	149  1631 247	1
16		211	-150  1628 244	1
17		234	-154  1620 247	1
17		235	147  1622 243	1
18		242	-150  1627 233	0.999984
18		243	146  1622 234	0.999997
19		248	-145  1619 237	0.999996
19		249	-146  1618 231	1
19		250	146  1610 236	1
20		255	144  1615 229	0.999994
20		256	145  1617 229	1
21		268	-144  1608 240	1
22		284	-147  1602 225	1
23		288	145  1592 234	1
23		289	151  1604 223	1
23		290	146  1606 224	0.999979
23		291	144  1607 227	1
23		292	154  1602 235	1
24		295	146  1613 235	1
25		297	154  1623 235	1
26		320	-171  366 55	1
26		321	156  364 52	1
26		322	-151  377 64	1
26		323	-156  373 59	1
26		324	-146  382 64	0.999939
27		329	165  366 55	1
27		330	158  373 56	1
27		331	-154  363 67	1
27		332	144  363 66	0.999869
27		333	163  376 67	1
27		334	249  362 61	1
27		335	-241  363 62	1
28		337	-248  361 65	1
29		339	-252  359 69	1
30		342	187  354 72	1
31		344	166  365 79	0.999993
31		345	168  351 69	1
31		346	-156  362 73	1
31		347	154  363 73	0.999999
31		348	-168  366 73	1
31		349	169  381 70	1
31		350	150  369 64	0.999999
31		351	-148  360 73	1
31		352	-154  343 75	1
