0		37	-89  875 791	1
1		113	-134  1911 708	1
1		114	132  1911 708	0.98893
1		115	127  1894 661	0.998502
1		116	121  1873 600	0.999568
1		117	116  1848 550	0.999684
1		118	112  1814 471	0.999523
1		119	-112  1750 379	0.999938
1		120	111  1750 379	0.99999
1		121	104  1709 338	0.999568
1		122	-103  1663 277	0.999198
1		123	-118  1654 260	0.902882
1		124	-130  1650 258	0.985233
1		125	-142  1647 255	0.998055
2		128	-218  1642 261	1
2		129	-206  1641 263	1
2		130	-232  1643 263	1
2		131	-247  1644 264	1
2		132	-225  1646 264	1
2		133	210  1649 262	1
2		134	185  1648 261	0.839444
2		135	223  1648 260	0.984555
2		136	211  1648 259	0.868407
2		137	186  1647 257	1
3		139	245  1643 255	1
4		141	253  1640 251	1
4		142	219  1639 249	1
4		143	129  1639 248	0.992337
4		144	-175  1639 250	0.873267
5		146	-172  1642 248	1
5		147	-204  1643 247	1
5		148	-120  1655 242	0.675679
5		149	142  1645 245	0.99994
5		150	135  1634 247	0.65276
6		152	-135  1634 246	0.966839
6		153	-124  1649 238	0.992444
7		155	-125  1641 249	0.999804
7		156	126  1630 232	0.958492
7		157	-127  1630 243	0.947288
8		161	116  1640 248	0.59839
9		167	131  1639 246	0.998925
10		169	-129  1639 246	0.841413
10		170	-126  1632 236	0.972554
10		171	-133  1644 232	0.986783
10		172	-132  1628 238	0.989384
10		173	-118  1630 242	0.882119
10		174	-120  1618 243	0.99687
11		178	112  1621 233	0.879599
11		179	123  1619 231	0.999098
12		181	-114  1637 235	0.876413
13		183	121  1637 236	0.999618
14		185	-135  1615 244	1
15		188	-126  1622 249	0.80414
16		190	128  1630 237	0.976446
17		193	128  1608 241	0.977391
17		194	-138  1620 242	0.745171
17		195	141  1621 234	0.999999
18		197	137  1625 235	0.974442
18		198	202  1629 242	1
19		200	233  1630 242	1
19		201	-231  1631 242	1
20		204	209  1631 240	1
20		205	-210  1631 240	1
20		206	135  1631 247	1
21		208	120  1618 243	0.986221
22		211	-134  1628 244	0.989713
23		217	110  1616 238	0.660548
23		218	115  1637 231	0.779714
23		219	129  1614 239	1
23		220	-125  1613 240	0.991025
23		221	-109  1627 247	0.762651
24		223	116  1626 243	0.511861
25		225	-119  1622 245	0.720098
25		226	109  1615 232	0.894066
26		229	-110  1622 246	0.584893
27		231	127  1619 244	0.999999
28		234	-138  1620 247	0.972274
28		235	133  1622 243	1
29		237	120  1632 236	0.999445
30		239	123  1620 246	0.992417
31		241	126  1622 243	0.95945
32		243	132  1622 234	0.96169
32		244	123  1617 232	0.966502
32		245	101  1628 247	0.606096
33		247	-134  1617 240	0.98982
34		249	-132  1618 231	0.999976
34		250	132  1610 236	0.89909
34		251	-153  1614 230	1
35		253	-112  1606 224	0.999568
35		254	126  1610 237	0.611525
35		255	130  1615 229	0.683025
35		256	132  1617 229	0.997784
36		259	-120  1620 245	0.999918
37		261	-110  1627 234	0.99943
37		262	117  1608 232	0.998989
38		268	-130  1608 240	0.999699
38		269	108  1618 245	0.771666
38		270	-119  1606 228	0.990541
38		271	-113  1617 247	0.736011
38		272	112  1604 237	0.505352
39		274	-111  1603 235	0.98982
39		275	125  1603 236	0.999043
40		277	-132  1612 225	0.95131
40		278	-144  1605 235	1
40		279	-127  1608 229	0.53225
41		281	-126  1606 227	0.873267
42		283	-125  1598 232	0.985028
42		284	-133  1602 225	0.98598
43		286	116  1593 219	0.70677
44		288	131  1592 234	0.996439
44		289	137  1604 223	0.995951
44		290	132  1606 224	0.65276
44		291	130  1607 227	0.999925
44		292	138  1602 235	1
45		295	132  1613 235	0.889695
46		297	140  1623 235	0.965473
46		298	-121  1624 221	0.574531
46		299	-122  1621 214	0.986783
46		300	-103  1602 199	0.999992
46		301	-103  1577 189	0.999887
46		302	-105  1535 182	0.999766
46		303	-109  1475 183	0.999903
46		304	-109  1445 167	0.999644
46		305	-113  1341 153	0.999386
46		306	-116  1271 125	0.999707
46		307	115  1258 129	0.998293
47		333	-107  448 478	0.949837
48		357	-112  180 111	0.99687
48		358	112  180 111	0.995461
48		359	109  128 117	0.99077
48		360	109  93 128	0.991749
48		361	-111  9 194	0.972924
