0		156	-152  3261 489	0.0533214
1		178	158  3258 500	0.185268
2		181	157  3269 473	0.505352
3		184	-174  3237 467	1
4		194	-168  3260 478	0.980009
5		206	156  3250 465	1
6		210	-206  3246 464	1
7		234	-177  3224 459	1
8		239	149  3223 484	0.615824
9		242	169  3238 478	0.962073
9		243	154  3246 462	0.846715
10		250	160  3220 473	0.94295
11		252	-148  3248 466	0.240252
12		257	169  3226 463	0.999276
13		260	-149  3218 486	0.770983
13		261	-149  3214 486	0.925664
13		262	152  3241 498	0.987453
14		265	-159  3231 490	0.748162
15		275	147  3251 462	0.9871
16		279	-157  3217 456	0.842876
17		308	-126  2130 135	0.999984
18		330	173  746 113	0.951951
18		331	172  743 106	0.820683
19		357	-123  363 215	0.99998
